DateTime,volume,BidAsk,open,high,low,close,Up,Down
2022-12-29 00:00:00,74,-8,10804.0,10804.75,10802.25,10802.75,1,0
2022-12-29 00:02:00,37,19,10802.0,10804.0,10802.0,10803.25,1,0
2022-12-29 00:04:00,28,6,10803.0,10804.0,10803.0,10803.75,1,0
2022-12-29 00:06:00,76,25,10803.5,10806.25,10803.25,10805.75,1,0
2022-12-29 00:08:00,72,-12,10805.25,10805.5,10803.0,10803.5,1,0
2022-12-29 00:10:00,46,10,10803.25,10804.75,10802.75,10803.25,1,0
2022-12-29 00:12:00,44,-20,10803.25,10803.25,10801.25,10801.75,1,0
2022-12-29 00:14:00,60,-14,10801.5,10802.0,10800.25,10800.75,1,0
2022-12-29 00:16:00,136,-23,10800.5,10800.75,10798.0,10798.75,1,0
2022-12-29 00:18:00,83,2,10798.5,10799.25,10797.0,10798.5,1,0
2022-12-29 00:20:00,73,21,10798.25,10801.0,10797.5,10800.0,1,0
2022-12-29 00:22:00,74,-5,10799.25,10799.25,10795.75,10796.75,1,0
2022-12-29 00:24:00,62,1,10797.0,10797.0,10795.25,10795.5,1,0
2022-12-29 00:26:00,44,-18,10796.25,10797.5,10795.75,10795.75,1,0
2022-12-29 00:28:00,146,-26,10796.25,10796.25,10793.0,10794.5,1,0
2022-12-29 00:30:00,52,18,10795.0,10798.0,10795.0,10797.5,1,0
2022-12-29 00:32:00,39,15,10797.0,10798.5,10796.25,10798.25,1,0
2022-12-29 00:34:00,40,4,10797.75,10800.0,10796.75,10797.5,1,0
2022-12-29 00:36:00,12,-6,10797.5,10797.5,10796.75,10797.5,1,0
2022-12-29 00:38:00,31,10,10797.5,10798.75,10797.0,10797.5,1,0
2022-12-29 00:40:00,42,-12,10797.5,10798.75,10796.25,10796.25,1,0
2022-12-29 00:42:00,18,-3,10796.25,10797.0,10796.0,10796.25,1,0
2022-12-29 00:44:00,14,-4,10796.75,10797.0,10796.25,10796.5,1,0
2022-12-29 00:46:00,46,7,10796.75,10799.75,10796.75,10799.0,1,0
2022-12-29 00:48:00,34,0,10798.75,10798.75,10797.5,10798.0,1,0
2022-12-29 00:50:00,55,5,10798.0,10800.0,10798.0,10799.25,1,0
2022-12-29 00:52:00,65,12,10799.0,10802.25,10799.0,10801.25,1,0
2022-12-29 00:54:00,31,13,10800.75,10802.25,10800.75,10801.75,1,0
2022-12-29 00:56:00,73,-18,10801.25,10801.5,10798.0,10799.0,1,0
2022-12-29 00:58:00,71,15,10799.25,10800.5,10798.25,10800.25,1,0
2022-12-29 01:00:00,107,-38,10801.0,10802.75,10799.0,10799.0,1,0
2022-12-29 01:02:00,48,6,10799.0,10800.75,10798.25,10800.0,1,0
2022-12-29 01:04:00,43,5,10799.25,10800.75,10798.5,10800.75,1,0
2022-12-29 01:06:00,132,16,10801.0,10804.0,10800.25,10801.0,1,0
2022-12-29 01:08:00,72,-9,10801.0,10802.25,10799.0,10801.75,1,0
2022-12-29 01:10:00,110,52,10801.0,10803.75,10800.0,10803.75,1,0
2022-12-29 01:12:00,141,-106,10803.75,10804.0,10800.0,10801.5,1,0
2022-12-29 01:14:00,188,45,10801.75,10805.25,10801.75,10803.25,1,0
2022-12-29 01:16:00,193,126,10803.0,10809.75,10802.5,10808.25,1,0
2022-12-29 01:18:00,219,108,10808.75,10811.25,10807.0,10809.5,1,0
2022-12-29 01:20:00,103,-49,10809.0,10809.0,10805.0,10805.25,1,0
2022-12-29 01:22:00,69,-12,10805.5,10806.0,10803.5,10804.25,1,0
2022-12-29 01:24:00,229,70,10804.0,10807.75,10802.75,10805.75,1,0
2022-12-29 01:26:00,75,-25,10805.75,10806.0,10803.25,10803.75,1,0
2022-12-29 01:28:00,35,-20,10804.0,10804.75,10803.25,10803.75,1,0
2022-12-29 01:30:00,65,20,10803.5,10805.0,10803.25,10804.25,1,0
2022-12-29 01:32:00,74,-8,10804.0,10806.25,10803.75,10804.25,1,0
2022-12-29 01:34:00,65,-7,10805.0,10806.0,10803.5,10806.0,1,0
2022-12-29 01:36:00,77,-20,10805.5,10805.75,10803.5,10804.0,1,0
2022-12-29 01:38:00,55,9,10804.0,10806.25,10804.0,10804.5,1,0
2022-12-29 01:40:00,49,-31,10804.25,10804.5,10802.5,10802.5,1,0
2022-12-29 01:42:00,75,-29,10802.25,10803.0,10800.25,10800.5,1,0
2022-12-29 01:44:00,142,-28,10801.0,10801.25,10798.75,10800.0,1,0
2022-12-29 01:46:00,123,34,10800.0,10804.0,10800.0,10803.25,1,0
2022-12-29 01:48:00,63,9,10802.75,10806.0,10802.75,10804.75,1,0
2022-12-29 01:50:00,75,9,10804.5,10808.0,10804.5,10807.5,1,0
2022-12-29 01:52:00,98,17,10807.5,10808.0,10806.0,10807.5,1,0
2022-12-29 01:54:00,80,21,10807.75,10808.5,10807.0,10808.5,1,0
2022-12-29 01:56:00,337,123,10808.5,10814.5,10807.75,10814.25,1,0
2022-12-29 01:58:00,125,-9,10814.0,10814.75,10812.75,10814.25,1,0
2022-12-29 02:00:00,164,-37,10814.25,10816.75,10811.0,10811.5,1,0
2022-12-29 02:02:00,125,9,10811.75,10814.75,10810.75,10811.0,1,0
2022-12-29 02:04:00,134,13,10810.75,10810.75,10807.75,10809.0,1,0
2022-12-29 02:06:00,122,9,10809.25,10814.25,10809.25,10811.75,1,0
2022-12-29 02:08:00,28,12,10812.25,10812.75,10811.0,10812.25,1,0
2022-12-29 02:10:00,50,2,10812.25,10812.75,10811.0,10812.25,1,0
2022-12-29 02:12:00,57,-4,10812.0,10812.75,10810.0,10810.0,1,0
2022-12-29 02:14:00,49,0,10809.75,10811.75,10808.0,10811.5,1,0
2022-12-29 02:16:00,60,-8,10811.25,10811.5,10808.5,10809.25,1,0
2022-12-29 02:18:00,60,-6,10809.5,10810.75,10807.25,10808.0,1,0
2022-12-29 02:20:00,78,-13,10808.0,10810.75,10808.0,10809.5,1,0
2022-12-29 02:22:00,64,10,10809.75,10812.5,10809.75,10810.5,1,0
2022-12-29 02:24:00,78,-4,10810.5,10811.5,10808.25,10809.0,1,0
2022-12-29 02:26:00,85,23,10809.0,10811.0,10809.0,10810.25,1,0
2022-12-29 02:28:00,129,-26,10810.75,10810.75,10805.75,10806.0,1,0
2022-12-29 02:30:00,144,-10,10806.25,10806.75,10803.75,10804.5,1,0
2022-12-29 02:32:00,83,10,10804.5,10807.0,10804.5,10806.25,1,0
2022-12-29 02:34:00,91,28,10805.75,10808.75,10805.0,10808.25,1,0
2022-12-29 02:36:00,83,0,10807.75,10811.0,10807.75,10810.0,1,0
2022-12-29 02:38:00,68,12,10809.5,10811.0,10807.5,10807.5,1,0
2022-12-29 02:40:00,54,19,10808.0,10809.5,10805.75,10808.0,1,0
2022-12-29 02:42:00,68,49,10807.5,10810.5,10807.5,10810.5,1,0
2022-12-29 02:44:00,104,-26,10810.5,10812.5,10808.5,10812.0,1,0
2022-12-29 02:46:00,209,71,10812.0,10816.0,10810.5,10813.5,1,0
2022-12-29 02:48:00,62,-8,10814.0,10814.75,10812.0,10813.75,1,0
2022-12-29 02:50:00,76,-27,10813.0,10813.0,10809.75,10810.0,1,0
2022-12-29 02:52:00,51,-6,10809.75,10812.75,10809.75,10811.75,1,0
2022-12-29 02:54:00,144,48,10812.5,10816.5,10812.0,10813.75,1,0
2022-12-29 02:56:00,105,-7,10814.25,10814.75,10812.0,10813.25,1,0
2022-12-29 02:58:00,174,66,10812.75,10818.5,10811.0,10814.75,1,0
2022-12-29 03:00:00,371,-25,10815.0,10818.25,10810.0,10811.0,1,0
2022-12-29 03:02:00,192,-5,10811.0,10814.25,10808.5,10813.25,1,0
2022-12-29 03:04:00,409,105,10813.75,10823.0,10810.5,10821.25,1,0
2022-12-29 03:06:00,195,17,10822.0,10823.0,10818.5,10822.5,1,0
2022-12-29 03:08:00,194,-25,10821.75,10823.25,10816.5,10817.0,1,0
2022-12-29 03:10:00,181,-35,10816.25,10819.25,10813.0,10816.0,1,0
2022-12-29 03:12:00,121,-5,10815.75,10819.5,10814.75,10818.25,1,0
2022-12-29 03:14:00,400,-152,10818.5,10818.5,10809.0,10812.25,1,0
2022-12-29 03:16:00,133,-19,10812.25,10813.75,10810.75,10811.0,1,0
2022-12-29 03:18:00,182,-30,10810.5,10811.5,10808.25,10811.0,1,0
2022-12-29 03:20:00,150,62,10811.0,10815.25,10810.5,10812.25,1,0
2022-12-29 03:22:00,168,-37,10812.0,10812.75,10808.75,10810.5,1,0
2022-12-29 03:24:00,177,-4,10811.0,10813.0,10808.5,10813.0,1,0
2022-12-29 03:26:00,308,48,10812.75,10819.75,10810.5,10819.25,1,0
2022-12-29 03:28:00,155,-13,10818.75,10821.25,10816.5,10819.25,1,0
2022-12-29 03:30:00,234,-82,10819.0,10820.0,10815.0,10815.5,1,0
2022-12-29 03:32:00,328,-114,10815.75,10815.75,10807.5,10813.0,1,0
2022-12-29 03:34:00,145,1,10812.75,10815.25,10811.5,10811.5,1,0
2022-12-29 03:36:00,121,23,10812.75,10816.0,10812.5,10812.75,1,0
2022-12-29 03:38:00,122,-21,10812.5,10816.25,10809.75,10814.75,1,0
2022-12-29 03:40:00,183,-4,10814.25,10818.25,10813.5,10814.25,1,0
2022-12-29 03:42:00,137,-29,10814.75,10816.0,10811.5,10815.0,1,0
2022-12-29 03:44:00,139,13,10815.75,10818.75,10814.5,10817.25,1,0
2022-12-29 03:46:00,110,-9,10816.5,10819.0,10815.25,10817.25,1,0
2022-12-29 03:48:00,108,-4,10817.75,10819.75,10815.75,10817.5,1,0
2022-12-29 03:50:00,340,14,10818.0,10824.5,10818.0,10822.25,1,0
2022-12-29 03:52:00,378,-24,10822.0,10825.25,10818.5,10822.5,1,0
2022-12-29 03:54:00,204,10,10822.75,10826.25,10822.5,10825.75,1,0
2022-12-29 03:56:00,247,-15,10825.75,10828.5,10821.5,10823.75,1,0
2022-12-29 03:58:00,259,7,10823.0,10829.25,10822.5,10822.5,1,0
2022-12-29 04:00:00,236,-23,10822.25,10826.5,10821.25,10826.5,1,0
2022-12-29 04:02:00,582,51,10825.75,10834.0,10825.75,10832.5,1,0
2022-12-29 04:04:00,502,11,10832.0,10837.0,10830.0,10833.0,1,0
2022-12-29 04:06:00,183,-20,10832.75,10836.25,10831.0,10834.5,1,0
2022-12-29 04:08:00,246,-5,10834.25,10836.5,10831.75,10834.0,1,0
2022-12-29 04:10:00,247,0,10833.25,10837.0,10833.0,10836.75,1,0
2022-12-29 04:12:00,187,-49,10837.0,10837.0,10833.0,10833.25,1,0
2022-12-29 04:14:00,410,95,10833.5,10841.5,10832.0,10837.5,1,0
2022-12-29 04:16:00,218,12,10837.25,10840.0,10835.5,10838.5,1,0
2022-12-29 04:18:00,299,-3,10838.75,10842.5,10836.75,10837.25,1,0
2022-12-29 04:20:00,287,-9,10837.25,10841.5,10837.0,10838.25,1,0
2022-12-29 04:22:00,248,40,10838.25,10844.0,10838.25,10842.5,1,0
2022-12-29 04:24:00,312,3,10842.5,10845.0,10841.0,10843.5,1,0
2022-12-29 04:26:00,269,-63,10844.0,10844.75,10837.0,10837.75,1,0
2022-12-29 04:28:00,211,-64,10837.0,10838.0,10834.5,10835.5,1,0
2022-12-29 04:30:00,198,-60,10835.25,10836.0,10831.25,10833.0,1,0
2022-12-29 04:32:00,134,-60,10832.5,10833.5,10830.75,10833.5,1,0
2022-12-29 04:34:00,244,17,10833.25,10838.5,10833.25,10837.75,1,0
2022-12-29 04:36:00,144,7,10836.5,10840.0,10835.75,10838.0,1,0
2022-12-29 04:38:00,244,14,10838.75,10839.5,10835.75,10837.25,1,0
2022-12-29 04:40:00,168,7,10837.25,10840.0,10835.25,10835.5,1,0
2022-12-29 04:42:00,71,32,10835.75,10839.0,10835.75,10837.5,1,0
2022-12-29 04:44:00,131,-47,10837.0,10839.25,10834.75,10838.75,1,0
2022-12-29 04:46:00,101,-5,10839.0,10839.75,10837.0,10837.75,1,0
2022-12-29 04:48:00,119,3,10837.75,10840.0,10837.5,10837.75,1,0
2022-12-29 04:50:00,108,-13,10838.0,10840.0,10837.0,10838.75,1,0
2022-12-29 04:52:00,261,101,10838.75,10843.0,10837.25,10840.75,1,0
2022-12-29 04:54:00,283,-4,10840.5,10846.5,10840.5,10841.75,1,0
2022-12-29 04:56:00,135,-41,10841.5,10842.0,10839.0,10839.75,1,0
2022-12-29 04:58:00,128,-57,10839.5,10841.75,10838.5,10838.75,1,0
2022-12-29 05:00:00,112,-13,10838.5,10841.5,10838.0,10838.5,1,0
2022-12-29 05:02:00,143,-31,10838.75,10839.25,10833.25,10833.75,1,0
2022-12-29 05:04:00,105,30,10833.5,10837.0,10833.5,10835.0,1,0
2022-12-29 05:06:00,85,-18,10834.75,10835.25,10833.5,10834.5,1,0
2022-12-29 05:08:00,101,22,10834.5,10837.75,10834.25,10837.25,1,0
2022-12-29 05:10:00,106,-24,10836.75,10837.0,10833.75,10834.75,1,0
2022-12-29 05:12:00,158,-10,10834.5,10836.0,10833.75,10834.5,1,0
2022-12-29 05:14:00,157,-1,10834.5,10837.75,10833.75,10835.0,1,0
2022-12-29 05:16:00,161,23,10835.25,10837.25,10834.75,10836.0,1,0
2022-12-29 05:18:00,198,-39,10836.25,10837.75,10832.25,10832.25,1,0
