Time,Volume,BidAsk,Open,High,Low,Close
2022-12-29 00:00:00,74,-8,10804.0,10804.75,10802.25,10802.75
2022-12-29 00:02:00,37,19,10802.0,10804.0,10802.0,10803.25
2022-12-29 00:04:00,28,6,10803.0,10804.0,10803.0,10803.75
2022-12-29 00:06:00,76,25,10803.5,10806.25,10803.25,10805.75
2022-12-29 00:08:00,72,-12,10805.25,10805.5,10803.0,10803.5
2022-12-29 00:10:00,46,10,10803.25,10804.75,10802.75,10803.25
2022-12-29 00:12:00,44,-20,10803.25,10803.25,10801.25,10801.75
2022-12-29 00:14:00,60,-14,10801.5,10802.0,10800.25,10800.75
2022-12-29 00:16:00,136,-23,10800.5,10800.75,10798.0,10798.75
2022-12-29 00:18:00,83,2,10798.5,10799.25,10797.0,10798.5
2022-12-29 00:20:00,73,21,10798.25,10801.0,10797.5,10800.0
2022-12-29 00:22:00,74,-5,10799.25,10799.25,10795.75,10796.75
2022-12-29 00:24:00,62,1,10797.0,10797.0,10795.25,10795.5
2022-12-29 00:26:00,44,-18,10796.25,10797.5,10795.75,10795.75
2022-12-29 00:28:00,146,-26,10796.25,10796.25,10793.0,10794.5
2022-12-29 00:30:00,52,18,10795.0,10798.0,10795.0,10797.5
2022-12-29 00:32:00,39,15,10797.0,10798.5,10796.25,10798.25
2022-12-29 00:34:00,40,4,10797.75,10800.0,10796.75,10797.5
2022-12-29 00:36:00,12,-6,10797.5,10797.5,10796.75,10797.5
2022-12-29 00:38:00,31,10,10797.5,10798.75,10797.0,10797.5
2022-12-29 00:40:00,42,-12,10797.5,10798.75,10796.25,10796.25
2022-12-29 00:42:00,18,-3,10796.25,10797.0,10796.0,10796.25
2022-12-29 00:44:00,14,-4,10796.75,10797.0,10796.25,10796.5
2022-12-29 00:46:00,46,7,10796.75,10799.75,10796.75,10799.0
2022-12-29 00:48:00,34,0,10798.75,10798.75,10797.5,10798.0
2022-12-29 00:50:00,55,5,10798.0,10800.0,10798.0,10799.25
2022-12-29 00:52:00,65,12,10799.0,10802.25,10799.0,10801.25
2022-12-29 00:54:00,31,13,10800.75,10802.25,10800.75,10801.75
2022-12-29 00:56:00,73,-18,10801.25,10801.5,10798.0,10799.0
2022-12-29 00:58:00,71,15,10799.25,10800.5,10798.25,10800.25
2022-12-29 01:00:00,107,-38,10801.0,10802.75,10799.0,10799.0
2022-12-29 01:02:00,48,6,10799.0,10800.75,10798.25,10800.0
2022-12-29 01:04:00,43,5,10799.25,10800.75,10798.5,10800.75
2022-12-29 01:06:00,132,16,10801.0,10804.0,10800.25,10801.0
2022-12-29 01:08:00,72,-9,10801.0,10802.25,10799.0,10801.75
2022-12-29 01:10:00,110,52,10801.0,10803.75,10800.0,10803.75
2022-12-29 01:12:00,141,-106,10803.75,10804.0,10800.0,10801.5
2022-12-29 01:14:00,188,45,10801.75,10805.25,10801.75,10803.25
2022-12-29 01:16:00,193,126,10803.0,10809.75,10802.5,10808.25
2022-12-29 01:18:00,219,108,10808.75,10811.25,10807.0,10809.5
2022-12-29 01:20:00,103,-49,10809.0,10809.0,10805.0,10805.25
2022-12-29 01:22:00,69,-12,10805.5,10806.0,10803.5,10804.25
2022-12-29 01:24:00,229,70,10804.0,10807.75,10802.75,10805.75
2022-12-29 01:26:00,75,-25,10805.75,10806.0,10803.25,10803.75
2022-12-29 01:28:00,35,-20,10804.0,10804.75,10803.25,10803.75
2022-12-29 01:30:00,65,20,10803.5,10805.0,10803.25,10804.25
2022-12-29 01:32:00,74,-8,10804.0,10806.25,10803.75,10804.25
2022-12-29 01:34:00,65,-7,10805.0,10806.0,10803.5,10806.0
2022-12-29 01:36:00,77,-20,10805.5,10805.75,10803.5,10804.0
2022-12-29 01:38:00,55,9,10804.0,10806.25,10804.0,10804.5
2022-12-29 01:40:00,49,-31,10804.25,10804.5,10802.5,10802.5
2022-12-29 01:42:00,75,-29,10802.25,10803.0,10800.25,10800.5
2022-12-29 01:44:00,142,-28,10801.0,10801.25,10798.75,10800.0
2022-12-29 01:46:00,123,34,10800.0,10804.0,10800.0,10803.25
2022-12-29 01:48:00,63,9,10802.75,10806.0,10802.75,10804.75
2022-12-29 01:50:00,75,9,10804.5,10808.0,10804.5,10807.5
2022-12-29 01:52:00,98,17,10807.5,10808.0,10806.0,10807.5
2022-12-29 01:54:00,80,21,10807.75,10808.5,10807.0,10808.5
2022-12-29 01:56:00,337,123,10808.5,10814.5,10807.75,10814.25
2022-12-29 01:58:00,125,-9,10814.0,10814.75,10812.75,10814.25
2022-12-29 02:00:00,164,-37,10814.25,10816.75,10811.0,10811.5
2022-12-29 02:02:00,125,9,10811.75,10814.75,10810.75,10811.0
2022-12-29 02:04:00,134,13,10810.75,10810.75,10807.75,10809.0
2022-12-29 02:06:00,122,9,10809.25,10814.25,10809.25,10811.75
2022-12-29 02:08:00,28,12,10812.25,10812.75,10811.0,10812.25
2022-12-29 02:10:00,50,2,10812.25,10812.75,10811.0,10812.25
2022-12-29 02:12:00,57,-4,10812.0,10812.75,10810.0,10810.0
2022-12-29 02:14:00,49,0,10809.75,10811.75,10808.0,10811.5
2022-12-29 02:16:00,60,-8,10811.25,10811.5,10808.5,10809.25
2022-12-29 02:18:00,60,-6,10809.5,10810.75,10807.25,10808.0
2022-12-29 02:20:00,78,-13,10808.0,10810.75,10808.0,10809.5
2022-12-29 02:22:00,64,10,10809.75,10812.5,10809.75,10810.5
2022-12-29 02:24:00,78,-4,10810.5,10811.5,10808.25,10809.0
2022-12-29 02:26:00,85,23,10809.0,10811.0,10809.0,10810.25
2022-12-29 02:28:00,129,-26,10810.75,10810.75,10805.75,10806.0
2022-12-29 02:30:00,144,-10,10806.25,10806.75,10803.75,10804.5
2022-12-29 02:32:00,83,10,10804.5,10807.0,10804.5,10806.25
2022-12-29 02:34:00,91,28,10805.75,10808.75,10805.0,10808.25
2022-12-29 02:36:00,83,0,10807.75,10811.0,10807.75,10810.0
